id,first_name,last_name,type,state,district,party,twitter_handle,state_name,rep_name,district_name,total_loss,nonelderly_subtotal,medicaid_adults,medicaid_children,medicaid_disabled,medicid_expansion,medicaid_elderly,indiv_market
C001092,Chris,Collins,rep,NY,27.0,Republican,RepChrisCollins,New York,Chris Collins (NY-27),(NY-27),23600.0,20400.0,5400.0,5100.0,1100.0,8800.0,2500.0,3200.0
W000815,Brad,Wenstrup,rep,OH,2.0,Republican,RepBradWenstrup,Ohio,Brad R. Wenstrup (OH-2),(OH-2),29500.0,24600.0,4600.0,8800.0,1700.0,9400.0,1800.0,4900.0
B001281,Joyce,Beatty,rep,OH,3.0,Democrat,RepBeatty,Ohio,Joyce Beatty (OH-3),(OH-3),42000.0,37100.0,6700.0,12800.0,2500.0,15100.0,2000.0,4900.0
J000295,David,Joyce,rep,OH,14.0,Republican,RepDaveJoyce,Ohio,David P. Joyce (OH-14),(OH-14),20900.0,15500.0,2700.0,5100.0,1000.0,6600.0,1800.0,5400.0
B001283,Jim,Bridenstine,rep,OK,1.0,Republican,RepJBridenstine,Oklahoma,Jim Bridenstine (OK-1),(OK-1),78200.0,44700.0,2700.0,10900.0,1800.0,29300.0,1700.0,33500.0
M001190,Markwayne,Mullin,rep,OK,2.0,Republican,RepMullin,Oklahoma,Markwayne Mullin (OK-2),(OK-2),84600.0,57800.0,3500.0,13900.0,2300.0,38200.0,3600.0,26800.0
P000605,Scott,Perry,rep,PA,4.0,Republican,RepScottPerry,Pennsylvania,Scott Perry (PA-4),(PA-4),38400.0,21600.0,2000.0,6900.0,2900.0,9700.0,2400.0,16900.0
R000598,Keith,Rothfus,rep,PA,12.0,Republican,KeithRothfus,Pennsylvania,Keith J. Rothfus (PA-12),(PA-12),32200.0,16600.0,1800.0,6300.0,2600.0,5800.0,3500.0,15600.0
C001090,Matthew,Cartwright,rep,PA,17.0,Democrat,RepCartwright,Pennsylvania,Matt Cartwright (PA-17),(PA-17),42100.0,24600.0,2500.0,8800.0,3700.0,9700.0,3400.0,17500.0
R000597,Tom,Rice,rep,SC,7.0,Republican,RepTomRice,South Carolina,Tom Rice (SC-7),(SC-7),79600.0,53200.0,2800.0,12900.0,2400.0,35100.0,3000.0,26500.0
C001098,Ted,Cruz,sen,TX,,Republican,SenTedCruz,Texas,,,2430600.0,1890400.0,43400.0,446700.0,60800.0,1339200.0,65700.0,540200.0
W000814,Randy,Weber,rep,TX,14.0,Republican,TXRandy14,Texas,"Randy K. Weber, Sr. (TX-14)",(TX-14),59500.0,47400.0,1100.0,11200.0,1500.0,33600.0,1600.0,12100.0
O000170,Beto,O’Rourke,rep,TX,16.0,Democrat,RepBetoORourke,Texas,Beto O'Rourke (TX-16),(TX-16),88500.0,65800.0,1400.0,14800.0,2000.0,47500.0,3800.0,22700.0
C001091,Joaquin,Castro,rep,TX,20.0,Democrat,JoaquinCastrotx,Texas,Joaquin Castro (TX-20),(TX-20),76100.0,60400.0,1500.0,15400.0,2100.0,41400.0,2400.0,15600.0
W000816,Roger,Williams,rep,TX,25.0,Republican,RepRWilliams,Texas,Roger Williams (TX-25),(TX-25),45300.0,30500.0,700.0,7500.0,1000.0,21200.0,1200.0,14800.0
V000131,Marc,Veasey,rep,TX,33.0,Democrat,RepVeasey,Texas,Marc A. Veasey (TX-33),(TX-33),112900.0,96700.0,2100.0,21600.0,2900.0,70100.0,1900.0,16100.0
V000132,Filemon,Vela,rep,TX,34.0,Democrat,RepFilemonVela,Texas,Filemon Vela (TX-34),(TX-34),99700.0,86100.0,1800.0,18400.0,2500.0,63500.0,3600.0,13500.0
S001192,Chris,Stewart,rep,UT,2.0,Republican,RepChrisStewart,Utah,Chris Stewart (UT-2),(UT-2),51000.0,33900.0,2500.0,7200.0,1100.0,23200.0,1300.0,17100.0
K000384,Timothy,Kaine,sen,VA,,Democrat,SenKaineOffice,Virginia,,,521800.0,329400.0,17500.0,75400.0,13500.0,222900.0,17000.0,192300.0
K000381,Derek,Kilmer,rep,WA,6.0,Democrat,RepDerekKilmer,Washington,Derek Kilmer (WA-6),(WA-6),29400.0,26300.0,1600.0,9300.0,1500.0,13900.0,1900.0,3100.0
H001064,Denny,Heck,rep,WA,10.0,Democrat,RepDennyHeck,Washington,Denny Heck (WA-10),(WA-10),27800.0,25100.0,1700.0,10200.0,1600.0,11500.0,2000.0,2700.0
P000607,Mark,Pocan,rep,WI,2.0,Democrat,RepMarkPocan,Wisconsin,Mark Pocan (WI-2),(WI-2),43600.0,27600.0,4200.0,6300.0,1500.0,15600.0,2400.0,15900.0
K000385,Robin,Kelly,rep,IL,2.0,Democrat,RepRobinKelly,Illinois,Robin L. Kelly (IL-2),(IL-2),45600.0,33600.0,6700.0,14200.0,1800.0,10900.0,3300.0,12000.0
S000051,Marshall,Sanford,rep,SC,1.0,Republican,RepSanfordSC,South Carolina,Mark Sanford (SC-1),(SC-1),58600.0,34200.0,1500.0,7100.0,1300.0,24200.0,1800.0,24400.0
S001195,Jason,Smith,rep,MO,8.0,Republican,RepJasonSmith,Missouri,Jason Smith (MO-8),(MO-8),62900.0,45300.0,2500.0,13400.0,3000.0,26300.0,4000.0,17700.0
B001288,Cory,Booker,sen,NJ,,Democrat,senbookeroffice,New Jersey,,,418300.0,267800.0,22700.0,102900.0,20600.0,121500.0,26000.0,150200.0
C001101,Katherine,Clark,rep,MA,5.0,Democrat,RepKClark,Massachusetts,Katherine M. Clark (MA-5),(MA-5),22500.0,19600.0,4300.0,4400.0,2700.0,8300.0,3600.0,2800.0
B001289,Bradley,Byrne,rep,AL,1.0,Republican,RepByrne,Alabama,Bradley Byrne (AL-1),(AL-1),76900.0,46800.0,1000.0,12400.0,2600.0,30800.0,2100.0,30100.0
B001290,David,Brat,rep,VA,7.0,Republican,RepDaveBrat,Virginia,Dave Brat (VA-7),(VA-7),45300.0,26200.0,1500.0,6400.0,1100.0,17100.0,1400.0,19100.0
N000188,Donald,Norcross,rep,NJ,1.0,Democrat,DonaldNorcross,New Jersey,Donald Norcross (NJ-1),(NJ-1),35700.0,24000.0,2400.0,10900.0,2200.0,8500.0,2300.0,11600.0
A000370,Alma,Adams,rep,NC,12.0,Democrat,RepAdams,North Carolina,Alma S. Adams (NC-12),(NC-12),117900.0,44500.0,2100.0,10400.0,2100.0,29900.0,1700.0,73400.0
P000609,Gary,Palmer,rep,AL,6.0,Republican,USRepGaryPalmer,Alabama,Gary J. Palmer (AL-6),(AL-6),54000.0,29400.0,600.0,7700.0,1600.0,19400.0,1300.0,24500.0
H001072,French,Hill,rep,AR,2.0,Republican,RepFrenchHill,Arkansas,J. French Hill (AR-2),(AR-2),37500.0,30500.0,1000.0,12800.0,3000.0,13800.0,2200.0,7000.0
W000821,Bruce,Westerman,rep,AR,4.0,Republican,RepWesterman,Arkansas,Bruce Westerman (AR-4),(AR-4),45000.0,38600.0,1200.0,15500.0,3600.0,18400.0,3200.0,6400.0
M001197,Martha,McSally,rep,AZ,2.0,Republican,RepMcSally,Arizona,Martha McSally (AZ-2),(AZ-2),45100.0,22300.0,4700.0,8000.0,1200.0,8400.0,2000.0,22800.0
G000574,Ruben,Gallego,rep,AZ,7.0,Democrat,RepRubenGallego,Arizona,Ruben Gallego (AZ-7),(AZ-7),82800.0,57900.0,11100.0,18800.0,2700.0,25300.0,1700.0,24900.0
D000623,Mark,DeSaulnier,rep,CA,11.0,Democrat,RepDeSaulnier,California,Mark DeSaulnier (CA-11),(CA-11),38600.0,25400.0,4100.0,8200.0,1600.0,11400.0,3000.0,13200.0
K000387,Steve,Knight,rep,CA,25.0,Republican,SteveKnight25,California,Stephen Knight (CA-25),(CA-25),42800.0,27100.0,4600.0,9100.0,1800.0,11600.0,2300.0,15700.0
